Record Sequence Number,EQID,Earthquake Name,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Earthquake Magnitude,Strike (deg),Dip (deg),Rake Angle (deg),Mechanism Based on Rake Angle,P-plunge (deg),P-trend (deg),T-plunge (deg),T-trend (deg),Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Length for Calculation of Ry (km),Fault Rupture Width (km),Fault Rupture Area (km^2),Average Vr/Vs,EpiD (km),HypD (km),Joyner-Boore Dist. (km),Campbell R Dist. (km),RmsD (km),ClstD (km),Rx,FW/HW Indicator,Source to Site Azimuth (deg),X,Y,Phi.D (deg),Unused Column.2,Depth,Preferred NEHRP Based on Vs30,Vs30 (m/s) selected for analysis,Measured/Inferred Class,Sigma of Vs30 (in natural log Units),Owner,Station Latitude,Station Longitude,STORIES,INSTLOC,Depth to Basement Rock,Site Visited,NGA Type,Northern CA/Southern CA - H11 Z1 (m),Northern CA/Southern CA - H11 Z1.5 (m),Northern CA/Southern CA - H11 Z2.5 (m),Northern CA/Southern CA - S4 Z1 (m),Northern CA/Southern CA - S4 Z1.5 (m),Northern CA/Southern CA - S4 Z2.5 (m),Rebe (m),File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,PEA Processing Flag,Type of Filter,npass,nroll,HP-H1 (Hz),HP-H2 (Hz),LP-H1 (Hz),LP-H2 (Hz),Factor,Lowest Usable Freq - H1 (Hz),Lowest Usable Freq - H2 (H2),Lowest Usable Freq - Ave. Component (Hz),PGA (g),PGV (cm/sec),PGD (cm),T0.010S,T0.020S,T0.030S,T0.050S,T0.075S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.750S,T1.000S,T1.500S,T2.000S,T3.000S,T4.000S,T5.000S,T6.000S,T7.500S,T10.000S,U,Damping (%),RotD percentile,Instrument Nat. Freq.,Instrument Damping,Instrument Type,Quality_Flag,Spectra Quality Flag,Late S-trigger,Late P-trigger
802,118,Loma Prieta,1989,1018,5,Saratoga - Aloha Ave,458,58065,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,27.23,32.35,7.58,-999.0,24.58,8.5,-5.69,nu,-131.33,0.5,0.81,11.53,-999,S,C,380.89,2a_3a_4b_4c,0.25,CDMG,37.255,-122.031,1,GROUND LEVEL,-999.0,-999,-999,44.1,213.4,794.7,44.1,213.4,794.7,-999.0,LOMAP\STG000.AT2,LOMAP\STG090.AT2,LOMAP\STG-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.1,0.05,38.0,50.0,1.25,0.125,0.0625,0.125,0.36939,47.326,26.531,0.3699641,0.3751936,0.3902602,0.4651291,0.5827293,0.6935148,1.062293,0.9920161,0.6848601,0.6990452,0.5603265,0.6008118,0.4775052,0.3983186,0.3535169,0.2418643,0.1323124,0.103809,0.07181326,0.06086343,0.03616009,0.01635543,-5.0058812,5,50,-999.0,-999.0,-999,-999,0,-999,?
803,118,Loma Prieta,1989,1018,5,Saratoga - W Valley Coll.,473,58235,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,27.05,32.2,8.48,-999.0,24.83,9.31,-7.5,fw,-117.75,0.5,0.81,15.65,-999,D,D,347.9,2a_3a_4b_4c,0.25,CDMG,37.262,-122.009,1,GROUND LEVEL,2.7,-999,-999,595.6,1419.1,3419.1,595.6,1419.1,3419.1,-999.0,LOMAP\WVC000.AT2,LOMAP\WVC270.AT2,LOMAP\WVCXXX.AT2,0,270,A,-999,PEA,A,1,2.5,0.1,0.05,38.0,49.0,1.25,0.125,0.0625,0.125,0.29645,63.856,30.074,0.2965586,0.2975966,0.3009067,0.3072348,0.3646733,0.4258734,0.5434446,0.6113833,0.6548837,0.8344938,0.5762651,0.4530461,0.5945404,0.603206,0.3937067,0.2667911,0.1526378,0.1239455,0.1044478,0.07924227,0.04805139,0.02233041,-3.9474027,5,50,-999.0,-999.0,-999,-999,0,-999,DNR
804,118,Loma Prieta,1989,1018,5,"So. San Francisco, Sierra Pt.",489,58539,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,83.53,85.34,63.03,-999.0,81.9,63.15,-23.29,nu,-158.31,0.5,0.81,38.32,-999,S,B,1020.62,1,0.4,CDMG,37.675,-122.388,0,GROUND LEVEL,0.0,-999,-999,3.99,10.0,849.6,3.99,10.0,849.6,-999.0,LOMAP\SSF115.AT2,LOMAP\SSF205.AT2,LOMAP\SSF-UP.AT2,115,205,A,-999,PEA,A,1,2.5,0.08,0.05,30.0,30.0,1.25,0.1,0.0625,0.1,0.081235,7.6731,4.0831,0.08148126,0.08180419,0.08332891,0.1015648,0.1135541,0.1091949,0.1748808,0.1738014,0.1840264,0.2489601,0.2157356,0.1197056,0.1402316,0.09039923,0.04818864,0.03188855,0.02452267,0.01352805,0.00991295,0.01024015,0.006511393,0.004654964,-58.565998,5,50,-999.0,-999.0,-999,-999,0,-999,?
805,118,Loma Prieta,1989,1018,5,Stanford Park. Garage,18,17,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,50.52,53.46,30.17,-999.0,48.4,30.42,-13.58,nu,-153.24,0.5,0.81,26.8,-999,S,D,336.59,2a_3a_4b_4c,0.25,USGS,37.432,-122.172,-999,-999,-999.0,-999,-999,498.4,498.4,872.2,498.4,498.4,872.2,-999.0,LOMAP\SPG360.AT2,LOMAP\SPGXXX.AT2,LOMAP\SPGXXX.AT2,0,-999,D,-999,PEA,A,1,2.5,0.09,-999.0,70.0,0.0,1.25,0.1125,-999.0,0.1125,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-26.943148,5,50,-999.0,-999.0,-999,-999,0,-999,DNR
806,118,Loma Prieta,1989,1018,5,Sunnyvale - Colton Ave.,196,1695,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,42.13,45.61,23.92,-999.0,40.52,24.23,-18.92,nu,-127.72,0.5,0.81,33.88,-999,D,D,267.71,0,0.1,USGS,37.402,-122.025,1,GROUND LEVEL,-999.0,-999,-999,498.0,498.0,849.5,498.0,498.0,849.5,-999.0,LOMAP\SVL270.AT2,LOMAP\SVL360.AT2,LOMAP\SVL-UP.AT2,270,0,A,-999,PEA,A,1,2.5,0.08,0.06,40.0,32.0,1.25,0.1,0.075,0.1,0.20955,37.872,17.968,0.2096773,0.2108957,0.2146991,0.2313233,0.2583785,0.3212469,0.3984308,0.6416747,0.5392938,0.5235943,0.4289082,0.4241179,0.2849436,0.2639193,0.2128454,0.1633496,0.3237902,0.09857808,0.07585885,0.05644509,0.03738523,0.01684318,-14.637924,5,50,-999.0,-999.0,-999,-999,0,-999,?
807,118,Loma Prieta,1989,1018,5,Sunol - Forest Fire Station,1163,1688,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,61.9,64.32,47.41,-999.0,61.16,47.57,-43.91,nu,-112.17,0.5,0.81,50.34,-999,S,C,400.62,0,0.2,USGS,37.597,-121.88,0,GROUND LEVEL,-999.0,-999,-999,330.4,726.9,1431.8,330.4,726.9,1431.8,-999.0,LOMAP\SUF090.AT2,LOMAP\SUF180.AT2,LOMAP\SUF-UP.AT2,90,180,-999,SMA-1,PEA,A,1,2.5,0.1,0.08,23.0,20.0,1.2,0.12,0.096,0.12,0.078083,8.7091,6.0024,0.07820367,0.07871774,0.07898778,0.08291,0.09413961,0.1446466,0.1526505,0.2901079,0.2756262,0.2517971,0.1633105,0.1370909,0.09698363,0.1067347,0.04183891,0.03222378,0.032988,0.02560022,0.02830135,0.02344106,0.01254989,0.006297619,-17.891283,5,50,-999.0,-999.0,-999,-999,0,-999,?
808,118,Loma Prieta,1989,1018,5,Treasure Island,459,58117,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,97.43,98.98,77.32,-999.0,95.93,77.42,-37.31,nu,-151.15,0.5,0.81,47.57,-999,D,E,155.11,0,0.05,CDMG,37.825,-122.373,2,GROUND LEVEL,0.058,-999,-999,95.2,270.9,842.0,95.2,270.9,842.0,-999.0,LOMAP\TRI000.AT2,LOMAP\TRI090.AT2,LOMAP\TRI-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.07,0.08,28.0,30.0,1.25,0.0875,0.1,0.1,0.1362,25.629,8.6694,0.1362268,0.1366746,0.1375024,0.1397464,0.1411189,0.1527501,0.1881623,0.1972268,0.2798122,0.367455,0.2854128,0.3284228,0.4068151,0.2933411,0.2810038,0.187407,0.08096798,0.03237677,0.02261988,0.01369807,0.01290409,0.006361047,-67.728042,5,50,-999.0,-999.0,-999,-999,0,-999,?
809,118,Loma Prieta,1989,1018,5,UCSC,16,15,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,16.51,24.05,12.15,-999.0,23.5,18.51,18.3,hw,90.0,0.25,0.66,57.2,-999,S,C,713.59,1,0.3,UCSC,37.001,-122.062,-999,-999,-999.0,-999,-999,199.4,324.9,701.5,199.4,324.9,701.5,-999.0,LOMAP\UC2000.AT2,LOMAP\UC2090.AT2,LOMAP\UC2-UP.AT2,0,90,D,-999,PEA,A,1,2.5,0.07,0.1,50.0,50.0,1.25,0.0875,0.125,0.125,0.37348,11.896,2.5822,0.3755243,0.4166058,0.5192615,0.6515448,0.8667794,0.8537376,1.196998,0.8999814,0.5530348,0.4816447,0.4146638,0.2649593,0.1360414,0.1881731,0.07317001,0.03450502,0.01595503,0.01820797,0.009970466,0.005437223,0.002660542,0.001198121,10.186619,5,50,-999.0,-999.0,-999,-999,0,-999,D
810,118,Loma Prieta,1989,1018,5,UCSC Lick Observatory,466,58135,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,16.34,23.93,12.04,-999.0,23.39,18.41,18.19,hw,90.0,0.24,0.66,56.97,-999,S,C,713.59,1,0.3,CDMG,37.001,-122.06,1,GROUND LEVEL,0.0,-999,-999,192.0,317.5,694.0,192.0,317.5,694.0,-999.0,LOMAP\LOB000.AT2,LOMAP\LOB090.AT2,LOMAP\LOB-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.08,0.12,40.0,40.0,1.25,0.1,0.15,0.15,0.45619,21.811,7.4617,0.4566106,0.4624878,0.5159903,0.5566535,0.6478982,0.8693202,1.787023,1.074253,0.9359975,1.087781,0.8062709,0.4383679,0.1729676,0.2062421,0.08095725,0.04320332,0.02177428,0.02655907,0.02116289,0.01330896,0.009991463,0.005723273,10.326882,5,50,-999.0,-999.0,-999,-999,0,-999,?
811,118,Loma Prieta,1989,1018,5,WAHO,15,14,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,12.56,21.52,11.03,-999.0,21.86,17.47,17.19,hw,90.0,0.08,0.68,54.81,-999,S,C,388.33,2a_3a_4b_4c,0.33,UCSC,36.972,-121.995,-999,-999,-999.0,-999,-999,197.9,322.5,725.5,197.9,322.5,725.5,-999.0,LOMAP\WAH000.AT2,LOMAP\WAH090.AT2,LOMAP\WAH-UP.AT2,0,90,D,-999,PEA,A,1,2.5,0.08,0.08,70.0,70.0,1.25,0.1,0.1,0.1,0.5373,29.52,5.4693,0.5426813,0.7415255,0.8392691,1.098542,1.146585,1.32701,1.606789,1.364126,1.055637,0.9155217,0.8967511,0.5260456,0.6677343,0.5343912,0.23332,0.0727786,0.04733604,0.0342264,0.01686752,0.008493987,0.004356048,0.002161458,16.867922,5,50,-999.0,-999.0,-999,-999,0,-999,D
812,118,Loma Prieta,1989,1018,5,Woodside,461,58127,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,54.51,57.24,33.87,-999.0,52.39,34.09,-8.66,nu,-165.18,0.5,0.81,18.08,-999,S,C,453.98,0,0.2,CDMG,37.429,-122.258,1,GROUND LEVEL,-999.0,-999,-999,198.6,301.5,875.2,198.6,301.5,875.2,-999.0,LOMAP\WDS000.AT2,LOMAP\WDS090.AT2,LOMAP\WDS-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.08,0.0,25.0,25.0,1.25,0.1,0.0,0.1,0.081566,16.286,10.77,0.08159278,0.08189215,0.08250953,0.0861669,0.0980758,0.09874562,0.1396973,0.1552731,0.1628574,0.2198327,0.179021,0.2282834,0.1494801,0.1924869,0.09207148,0.0813638,0.07862521,0.0444155,0.02090661,0.01827073,0.01493758,0.008678971,-32.743373,5,50,-999.0,-999.0,-999,-999,0,-999,?
813,118,Loma Prieta,1989,1018,5,Yerba Buena Island,468,58163,6.93,128.0,70.0,140,3,10.68,184.55,41.99,84.78,37.0407,-121.8829,17.48,1,3.85,40.0,18.0,719.8,0.7748850273156579,95.16,96.76,75.07,-999.0,93.65,75.17,-36.37,nu,-151.02,0.5,0.81,47.11,-999,S,C,659.81,1,0.3,CDMG,37.807,-122.361,0,GROUND LEVEL,0.0,-999,-999,22.0,278.3,900.8,22.0,278.3,900.8,-999.0,LOMAP\YBI000.AT2,LOMAP\YBI090.AT2,LOMAP\YBI-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.09,0.08,22.0,31.0,1.25,0.1125,0.1,0.1125,0.057222,10.099,4.3664,0.05728507,0.05770583,0.05793885,0.05969943,0.07031184,0.07681295,0.08951601,0.07694273,0.1075281,0.1292856,0.1108027,0.1119585,0.107968,0.06051863,0.05990349,0.04539049,0.02596671,0.01996523,0.01215784,0.009445479,0.008427997,0.004083528,-65.668434,5,50,-999.0,-999.0,-999,-999,0,-999,?
825,123,Cape Mendocino,1992,425,1806,Cape Mendocino,501,89005,7.01,350.0,14.0,105,2,31.39,247.62,58.36,59.58,40.327,-124.233,9.5,1,5.2,20.0,28.0,559.7,0.8,10.36,14.06,0.0,-999.0,11.61,6.96,7.91,hw,90.0,0.2,0.41,30.9,-999,S,C,567.78,2a_3a_4b_4c,0.33,CDMG,40.348,-124.352,0,GROUND LEVEL,0.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CAPEMEND\CPM000.AT2,CAPEMEND\CPM090.AT2,CAPEMEND\CPM-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.07,0.07,23.0,23.0,1.0,0.07,0.07,0.07,1.3963,91.156,24.84,1.435191,1.437064,1.694132,2.032369,2.275275,2.359426,2.564997,2.014642,2.449572,2.062606,1.106196,1.108193,0.7502665,0.6049563,0.3411494,0.2395695,0.1661901,0.1248509,0.09444846,0.05520174,0.02928387,0.01344463,12.945616,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
826,123,Cape Mendocino,1992,425,1806,Eureka - Myrtle & West,507,89509,7.01,350.0,14.0,105,2,31.39,247.62,58.36,59.58,40.327,-124.233,9.5,1,5.2,20.0,28.0,559.7,0.8,53.34,54.18,40.23,-999.0,53.92,41.97,33.67,nu,40.31,0.56,0.36,44.34,-999,S,D,337.46,2a_3a_4b_4c,0.25,CDMG,40.802,-124.148,0,GROUND LEVEL,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CAPEMEND\EUR000.AT2,CAPEMEND\EUR090.AT2,CAPEMEND\EUR-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.16,0.16,23.0,23.0,1.0,0.16,0.16,0.16,0.17189,24.988,8.6054,0.1731114,0.1744465,0.1729386,0.1738799,0.1786467,0.1901837,0.2266013,0.2555196,0.4323027,0.3877676,0.3191174,0.3186109,0.1919426,0.1896631,0.2308699,0.14594,0.08461268,0.04384445,0.02629007,0.01484716,0.008200405,0.004015631,59.697956,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
827,123,Cape Mendocino,1992,425,1806,Fortuna - Fortuna Blvd,506,89486,7.01,350.0,14.0,105,2,31.39,247.62,58.36,59.58,40.327,-124.233,9.5,1,5.2,20.0,28.0,559.7,0.8,29.55,31.04,15.97,-999.0,30.98,19.95,29.73,nu,62.07,0.56,0.34,51.7,-999,S,C,457.06,0,0.2,CDMG,40.584,-124.145,0,GROUND LEVEL,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.9651,CAPEMEND\FOR000.AT2,CAPEMEND\FOR090.AT2,CAPEMEND\FOR-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.07,0.07,23.0,23.0,1.0,0.07,0.07,0.07,0.11672,21.355,17.14,0.1175192,0.1179466,0.1196692,0.1198493,0.12808,0.1534789,0.3116912,0.221123,0.2634527,0.2246693,0.2453861,0.2696503,0.2195964,0.1822434,0.1387674,0.1317745,0.1152345,0.06181591,0.04006584,0.03152953,0.02281907,0.01252491,35.760513,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
828,123,Cape Mendocino,1992,425,1806,Petrolia,502,89156,7.01,350.0,14.0,105,2,31.39,247.62,58.36,59.58,40.327,-124.233,9.5,1,5.2,20.0,28.0,559.7,0.8,4.51,10.52,0.0,-999.0,11.93,8.18,12.96,hw,90.0,0.02,0.24,50.72,-999,S,C,422.17,2a_3a_4b_4c,0.25,CDMG,40.324,-124.286,0,GROUND LEVEL,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CAPEMEND\PET000.AT2,CAPEMEND\PET090.AT2,CAPEMEND\PET-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.07,0.07,23.0,23.0,1.0,0.07,0.07,0.07,0.62397,71.558,26.438,0.6279856,0.6305493,0.6557668,0.6755535,0.8734081,0.8869088,0.9917725,0.9847154,0.7563142,1.040506,1.034054,1.272924,1.537582,0.8192759,0.3698933,0.2826041,0.1806173,0.08676738,0.05589483,0.03631751,0.02097653,0.01006652,9.3384289,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
829,123,Cape Mendocino,1992,425,1806,Rio Dell Overpass - FF,503,89324,7.01,350.0,14.0,105,2,31.39,247.62,58.36,59.58,40.327,-124.233,9.5,1,5.2,20.0,28.0,559.7,0.8,22.64,24.55,7.88,-999.0,25.1,14.33,32.01,nu,79.02,0.56,0.36,47.11,-999,S,D,311.75,0,0.1,CDMG,40.503,-124.099,0,GROUND LEVEL,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.5506,CAPEMEND\RDL270.AT2,CAPEMEND\RDL360.AT2,CAPEMEND\RDL-UP.AT2,270,0,A,-999,#,O,-999,-999.0,0.07,0.07,23.0,23.0,1.0,0.07,0.07,0.07,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,26.211428,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
830,123,Cape Mendocino,1992,425,1806,Shelter Cove Airport,508,89530,7.01,350.0,14.0,105,2,31.39,247.62,58.36,59.58,40.327,-124.233,9.5,1,5.2,20.0,28.0,559.7,0.8,36.28,37.5,26.51,-999.0,38.95,28.78,25.39,nu,136.24,0.44,0.19,64.09,-999,S,C,518.98,2a_3a_4b_4c,0.33,CDMG,40.026,-124.069,0,GROUND LEVEL,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CAPEMEND\SHL000.AT2,CAPEMEND\SHL090.AT2,CAPEMEND\SHL-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.5,0.5,23.0,23.0,1.0,0.5,0.5,0.5,0.19851,6.6431,0.39666,0.2041133,0.2056007,0.224823,0.2390128,0.3745597,0.4023948,0.6454338,0.7308688,0.5720334,0.2711402,0.1085667,0.0764164,0.03804377,0.02441238,0.01848501,0.01059954,0.003545831,0.001157614,0.000701812,0.000504529,0.000305,0.00017856,-26.514422,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
832,125,Landers,1992,628,1158,Amboy,295,21081,7.28,336.0,90.0,180,0,0.0,21.0,0.0,291.0,34.2,-116.436,7.0,1,0.0,71.8,15.0,1077.0,0.7840909090909091,75.2,75.53,69.21,-999.0,74.75,69.21,69.21,na,90.0,0.26,0.47,83.27,-999,D,C,382.93,2a_3a_4b_4c,0.25,CDMG,34.56,-115.743,1,GROUND LEVEL,0.003,-999,-999,60.0,-999.0,260.0,-999.0,-999.0,-999.0,-999.0,LANDERS\ABY000.AT2,LANDERS\ABY090.AT2,LANDERS\ABY-UP.AT2,0,90,A,-999,#,O,-999,-999.0,0.1,0.1,23.0,23.0,1.0,0.1,0.1,0.1,0.13124,18.046,8.8281,0.1321842,0.1327073,0.1337536,0.1416695,0.1691137,0.2660359,0.3988576,0.340109,0.4175416,0.31898,0.2708261,0.2591438,0.2077964,0.185907,0.1414094,0.1329613,0.08491365,0.05534798,0.04301285,0.02106865,0.0158417,0.01209583,20.617167,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
833,125,Landers,1992,628,1158,Anaheim - W Ball Rd,581,90088,7.28,336.0,90.0,180,0,0.0,21.0,0.0,291.0,34.2,-116.436,7.0,1,0.0,71.8,15.0,1077.0,0.7840909090909091,146.11,146.28,144.9,-999.0,150.31,144.9,-142.52,na,-100.4,0.5,0.47,87.31,-999,D,D,269.29,2a_3a_4b_4c,0.25,USC,33.817,-117.951,1,GROUND LEVEL,-999.0,-999,5,1200.0,-999.0,5100.0,620.0,-999.0,2880.0,-999.0,LANDERS\WBA000.AT2,LANDERS\WBA090.AT2,LANDERS\WBA-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.043,0.033,14.0,13.0,1.0,0.043,0.033,0.043,0.039787,13.779,12.343,0.03979408,0.03985396,0.03992041,0.04056812,0.04243764,0.05376707,0.0733698,0.08140709,0.09826943,0.138843,0.09875739,0.1015593,0.09370428,0.1283878,0.08153203,0.09074159,0.0599165,0.04283198,0.02533604,0.01218703,0.01198487,0.01365826,26.927924,5,50,-999.0,-999.0,-999,-999,0,-999,?
834,125,Landers,1992,628,1158,Arcadia - Arcadia Av,590,90099,7.28,336.0,90.0,180,0,0.0,21.0,0.0,291.0,34.2,-116.436,7.0,1,0.0,71.8,15.0,1077.0,0.7840909090909091,149.67,149.83,137.25,-999.0,146.63,137.25,-133.78,na,-77.09,0.73,0.47,87.0,-999,D,D,330.5,2a_3a_4b_4c,0.25,USC,34.127,-118.059,-999,GROUND LEVEL,-999.0,-999,5,820.0,-999.0,1720.0,320.0,-999.0,1840.0,-999.0,LANDERS\ARC172.AT2,LANDERS\ARC262.AT2,LANDERS\ARC-UP.AT2,172,262,A,-999,PEA,A,1,2.5,0.05,0.09,18.0,20.0,1.0,0.05,0.09,0.09,0.028606,9.4197,10.763,0.02861731,0.02869524,0.02877702,0.03089252,0.03073876,0.03206326,0.03751179,0.05193399,0.04649127,0.04635207,0.05609487,0.06831404,0.07750615,0.06230897,0.06868847,0.06216047,0.02788174,0.03453647,0.02946604,0.01950949,0.01819939,0.01260802,63.153132,5,50,-999.0,-999.0,-999,-999,0,-999,?
835,125,Landers,1992,628,1158,Arcadia - Campus Dr,585,90093,7.28,336.0,90.0,180,0,0.0,21.0,0.0,291.0,34.2,-116.436,7.0,1,0.0,71.8,15.0,1077.0,0.7840909090909091,147.53,147.7,135.22,-999.0,144.52,135.22,-131.96,na,-77.39,0.73,0.47,86.96,-999,D,C,367.53,0,0.2,USC,34.13,-118.036,1,GROUND LEVEL,-999.0,-999,5,800.0,-999.0,1800.0,320.0,-999.0,2020.0,-999.0,LANDERS\CAM009.AT2,LANDERS\CAM279.AT2,LANDERS\CAM-UP.AT2,9,279,A,-999,PEA,A,1,2.5,0.2,0.1,13.0,15.0,1.0,0.2,0.1,0.2,0.049089,9.435,4.8217,0.04911405,0.04921605,0.0493486,0.05006341,0.05331872,0.06340604,0.07285619,0.09241904,0.1157553,0.1296916,0.09997112,0.08125647,0.07979181,0.08395535,0.1094246,0.07807674,0.04295108,0.03277382,0.028385,0.01516592,0.00700823,0.002909279,62.571092,5,50,-999.0,-999.0,-999,-999,0,-999,Y
836,125,Landers,1992,628,1158,Baker Fire Station,366,32075,7.28,336.0,90.0,180,0,0.0,21.0,0.0,291.0,34.2,-116.436,7.0,1,0.0,71.8,15.0,1077.0,0.7840909090909091,123.89,124.08,87.94,-999.0,99.84,87.94,87.51,na,84.35,0.85,0.47,85.43,-999,D,D,324.62,2a_3a_4b_4c,0.25,CDMG,35.271,-116.066,1,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,240.0,-999.0,-999.0,-999.0,-999.0,LANDERS\BAK050.AT2,LANDERS\BAK140.AT2,LANDERS\BAK-UP.AT2,50,140,A,-999,#,O,-999,-999.0,0.1,0.1,23.0,23.0,1.0,0.1,0.1,0.1,0.10413,10.217,7.3577,0.1052684,0.1059001,0.1068556,0.1118041,0.1505449,0.180057,0.2229099,0.2640509,0.3535238,0.249488,0.2314786,0.192972,0.09937179,0.09476499,0.08704706,0.07543413,0.02754315,0.03284946,0.01675866,0.01107004,0.01267578,0.008571754,94.597477,5,50,-999.0,-999.0,-999,-999,0,-999,? PT
837,125,Landers,1992,628,1158,Baldwin Park - N Holly,563,90069,7.28,336.0,90.0,180,0,0.0,21.0,0.0,291.0,34.2,-116.436,7.0,1,0.0,71.8,15.0,1077.0,0.7840909090909091,142.08,142.25,131.92,-999.0,140.03,131.92,-129.85,na,-79.85,0.7,0.47,86.91,-999,D,C,544.68,1,0.3,USC,34.1,-117.974,1,GROUND LEVEL,-999.0,-999,5,240.0,-999.0,2780.0,380.0,-999.0,2840.0,-999.0,LANDERS\NHO180.AT2,LANDERS\NHO270.AT2,LANDERS\NHO-UP.AT2,180,270,A,-999,PEA,A,1,2.5,0.06,0.04,20.0,13.0,1.0,0.06,0.04,0.06,0.027942,10.594,9.9439,0.02796032,0.02806856,0.02861702,0.02879232,0.03057095,0.03310784,0.03428045,0.04321236,0.04651408,0.04028396,0.05894943,0.05713803,0.06949315,0.06169268,0.06565026,0.05055055,0.04408297,0.0357563,0.03235802,0.02286572,0.01931337,0.01305283,57.060437,5,50,-999.0,-999.0,-999,-999,0,-999,Y
